start_year,start_month,start_day,start_hour,start_minute,start_second,end_year,end_month,end_day,end_hour,end_minute,end_second,mbps,pps
2018,2,23,0,0,0,2018,2,23,0,5,0,489.75,89405.93
2018,2,23,0,5,0,2018,2,23,0,10,0,451.32,83676.63
2018,2,23,0,10,0,2018,2,23,0,15,0,458.88,84659.21
2018,2,23,0,15,0,2018,2,23,0,20,0,511.55,91859.76
2018,2,23,0,20,0,2018,2,23,0,25,0,462.53,85136.21
2018,2,23,0,25,0,2018,2,23,0,30,0,452.33,83663.56
2018,2,23,0,30,0,2018,2,23,0,35,0,484.0,89856.83
2018,2,23,0,35,0,2018,2,23,0,40,0,456.02,82802.47
2018,2,23,0,40,0,2018,2,23,0,45,0,406.62,78193.66
2018,2,23,0,45,0,2018,2,23,0,50,0,607.83,92258.94
2018,2,23,0,50,0,2018,2,23,0,55,0,484.52,85276.04
2018,2,23,0,55,0,2018,2,23,1,0,0,424.32,78194.97
2018,2,23,1,0,0,2018,2,23,1,5,0,450.34,83498.36
2018,2,23,1,5,0,2018,2,23,1,10,0,391.86,77693.83
2018,2,23,1,10,0,2018,2,23,1,15,0,444.36,80600.85
2018,2,23,1,15,0,2018,2,23,1,20,0,453.93,82607.66
2018,2,23,1,20,0,2018,2,23,1,25,0,363.79,72017.45
2018,2,23,1,25,0,2018,2,23,1,30,0,363.33,70588.85
2018,2,23,1,30,0,2018,2,23,1,35,0,376.34,73690.72
2018,2,23,1,35,0,2018,2,23,1,40,0,349.68,69148.2
2018,2,23,1,40,0,2018,2,23,1,45,0,330.67,68063.28
2018,2,23,1,45,0,2018,2,23,1,50,0,325.91,65298.66
2018,2,23,1,50,0,2018,2,23,1,55,0,279.26,61462.28
2018,2,23,1,55,0,2018,2,23,2,0,0,333.12,69274.79
2018,2,23,2,0,0,2018,2,23,2,5,0,378.21,75375.84
2018,2,23,2,5,0,2018,2,23,2,10,0,324.58,65928.49
